company_name,trade,ownership_type,ownership_confidence,parent_company_or_notes,city,county,zip,address,phone,website,google_rating,google_reviews,maps_services,license_types,license_type_labels,license_numbers,active_license_count,qualifying_agents_or_licensees,latest_expiration_seen,enrichment_source,data_source
BIG C AND SONS INC,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Margate,Broward,33068-3110,"590 Sw 49Th Ter, Margate, FL, 33068-3110",,,,,,CAC,Certified Air Conditioning Contractor,CAC1817687,1,"CHISHOLM, BYRON DAVE",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
BROTHERS XPRESS PLUMBING & DRAIN SOLUTIONS CORP,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Hollywood,Broward,33024-2732,"2720 North 72Nd Way, Hollywood, FL, 33024-2732",,,,,,CFC,Certified Plumbing Contractor,CFC1434262,1,"OSBRACH, EBEN DYLAN",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
DATTILE & SONS PLUMBING,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Coral Springs,Broward,33067,"8568 Nw 46Th Drive, Coral Springs, FL, 33067",,,,,,CFC,Certified Plumbing Contractor,CFC1426068,1,"DATTILE, KEITH",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
FATHER & SON PLUMBING SERVICES INC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Plantation,Broward,33317,"5301 Sw 8Th Street, Plantation, FL, 33317",,,,,,CFC,Certified Plumbing Contractor,CFC1427011,1,"MISTLER, PETER JAMES",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
FLEMING BROTHERS SERVICES INC,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Cooper City,Broward,33328,"5202 Sw 90Th Ter, Cooper City, FL, 33328",,,,,,CAC,Certified Air Conditioning Contractor,CAC057502,1,"FLEMING, DOUGLAS ERIC",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
HENRY & SONS PLUMBING & HEATING INC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Davie,Broward,33314,"4755  Sw 73Rd Ave., Davie, FL, 33314",,,,,,CFC,Certified Plumbing Contractor,CFC057722,1,"CABALLERO, ENRIQUE",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
SHAWN & SONS PLUMBING INC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Lighthouse Point,Broward,33064,"5031 Ne 26 Terrace, Lighthouse Point, FL, 33064",,,,,,CFC,Certified Plumbing Contractor,CFC1426978,1,"MARINI, ROBERTO",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
K C & SON REPAIRS INC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Blountstown,Calhoun,32424,"P.O. Box 298, Blountstown, FL, 32424",,,,,,CFC,Certified Plumbing Contractor,CFC1426318,1,"CLARK, KEITH A.",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
KC & SON REPAIRS INC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Blountstown,Calhoun,32424,"Po Box 298, Blountstown, FL, 32424",,,,,,RF,Registered Plumbing Contractor,RF11067286,1,"CLARK, DAVID SCOTT",08/31/2027,,FL DBPR Construction License Extract (Current + Active)
BOSCH BROTHERS AIR CONDITIONING CORP,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Punta Gorda,Charlotte,33951,"P O Box 510945, Punta Gorda, FL, 33951",,,,,,CAC,Certified Air Conditioning Contractor,CAC1815961,1,"BOSCH, HERBERT FRANCIS",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
BOYD BROTHERS SERVICE INC,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Punta Gorda,Charlotte,33983,"2460 Highlands Road, Punta Gorda, FL, 33983",,,,,,CAC,Certified Air Conditioning Contractor,CAC043852,1,"BOYD, RONALD BORYSKEWICH",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
"MULLENS & SONS PLUMBING, LLC",Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Punta Gorda,Charlotte,33983,"27176 Voyageur Drive, Punta Gorda, FL, 33983",,,,,,CFC,Certified Plumbing Contractor,CFC1430778,1,"MULLENS, JOHN",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
SMOTHERS BROTHERS AIR CONDITIONING,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Port Charlotte,Charlotte,33954,"17194 Toledo Blade Blvd, Port Charlotte, FL, 33954",,,,,,CAC,Certified Air Conditioning Contractor,CAC1818937,1,"LARSON, ADAM VERNON",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
ESKIMO BROTHERS AC AND HEATING,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Homosassa,Citrus,34448,"7745 W Homosassa Trail, Homosassa, FL, 34448",,,,,,CAC,Certified Air Conditioning Contractor,CAC1823715,1,"BASS, HENRY EDGAR",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
MITCH DUNCAN & SON PLUMBING INC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Inverness,Citrus,34450,"781 North Horse Prairie Road, Inverness, FL, 34450",,,,,,CFC,Certified Plumbing Contractor,CFC051642,1,"DUNCAN, WILLIAM MITCHELL",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
OLDE ENGLISH & SON PLUMBING INC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Homossasa,Citrus,34448,"2190 S Bolton Ave, Homossasa, FL, 34448",,,,,,CFC,Certified Plumbing Contractor,CFC032582,1,"COLLINS, MICHAEL L",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
SCHUMACHER&SON PLUMBING 'LLC',Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Homosassa,Citrus,34446,"5734 S Jeffrey Point, Homosassa, FL, 34446",,,,,,CFC,Certified Plumbing Contractor,CFC1425615,1,"MAINHART, RICHARD DARWIN",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
STRATTON & SONS PLUMBING LLC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Hernando,Citrus,34442,"1064 W Union Street, Hernando, FL, 34442",,,,,,CFC,Certified Plumbing Contractor,CFC1431793,1,"STRATTON, TALLON ALBERT",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
ACRES & SON PLUMBING INC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Naples,Collier,34105,"2913 68Th Street Sw, Naples, FL, 34105",,,,,,CFC,Certified Plumbing Contractor,CFC57749,1,"ACRES, RANDY M",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
CAMPBELL'S BROTHERS PLUMBING SERVICES INC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Naples,Collier,34104,"4051 Coconut Circle N, Naples, FL, 34104",,,,,,CFC,Certified Plumbing Contractor,CFC1427472,1,"CAMPBELL, DARRIN J",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"HENRY & SON PLUMBING SOLUTIONS , LLC",Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Naples,Collier,34105,"300 Forest Lakes Blvd Apt 101, Naples, FL, 34105",,,,,,RF,Registered Plumbing Contractor,RF11067955,1,"CZERWINSKI, HENRY III",08/31/2027,,FL DBPR Construction License Extract (Current + Active)
"J.P. BRETT & SONS, INC.",HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Naples,Collier,34120,"690 24Th Ave. N. E., Naples, FL, 34120",,,,,,CAC,Certified Air Conditioning Contractor,CAC057414; CAC1819995,2,"BRETT, DANIEL JOSEPH; MERRIAM, CASEY JAMES",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
MOEN BROTHERS PLUMBING & DRAIN LLC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Naples,Collier,34110,"16265  Aberdeen Way, Naples, FL, 34110",(239) 567-9933,www.moenbrothers.com,4.9,706,Plumber,CFC,Certified Plumbing Contractor,CFC1428497,1,"MOEN, MATTHEW M",08/31/2028,data/companies.json (Google Maps scrape),FL DBPR Construction License Extract (Current + Active)
"RICH MATHEWS & SON, INC.",Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Naples,Collier,34110,"1211 Imperial Dr, Naples, FL, 34110",,,,,,CFC,Certified Plumbing Contractor,CFC1432212,1,"MATHEWS, RICHARD THOMAS",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
ACE BROTHERS HEATING & AIR LLC,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Jacksonville,Duval,32256,"7741 Sawtooth Ct, Jacksonville, FL, 32256",,,,,,CAC,Certified Air Conditioning Contractor,CAC1823683,1,"DOKOLLARI, ENEA",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
CHRISTIAN BROTHERS HEATING AND AIR LLC,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Jacksonville,Duval,32246,"10968 Aloha Dr, Jacksonville, FL, 32246",,,,,,CAC,Certified Air Conditioning Contractor,CAC1823349,1,"JOHNSON, JONATHAN MICHAEL",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"CHRISTIAN BROTHERS PLUMBING AND RENOVATIONS, LLC",Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Jacksonville,Duval,32209,"2800 12686 Kernan Forest Blvd, Jacksonville, FL, 32209",,,,,,CFC,Certified Plumbing Contractor,CFC1428684,1,"POWELL, DOUGLAS T JR",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
HALL AND SONS PLUMBING INC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Jacksonville,Duval,32257,"9716 Florida Mining Blvd W Suite 2, Jacksonville, FL, 32257",,,,,,CFC,Certified Plumbing Contractor,CFC1425980,1,"HALL, GARY WAYNE II",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
LARRY TEAGUE AND SONS HEATING & AIR CONDITIONING INC,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Jacksonville,Duval,32218,"3601 Bessent Road, Jacksonville, FL, 32218",,,,,,CAC,Certified Air Conditioning Contractor,CAC1816895,1,"BROWNING, KATHY L",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"MAYNOR AND SONS, LLC",HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Jacksonville,Duval,32225,"2038 Raley Creek Dr East, Jacksonville, FL, 32225",,,,,,CAC,Certified Air Conditioning Contractor,CAC1821216,1,"MAYNOR, THARA",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
MCCULLOUGH & SONS INC,Plumbing + HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Century,Escambia,32535,"4651 W Highway 4, Century, FL, 32535",,,,,,"CFC, CMC",Certified Mechanical Contractor; Certified Plumbing Contractor,CFC1426745; CMC1249536,2,"MCCULLOUGH, CHARLES A",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
"PAYNE & SON PLUMBING & HEATING, INC.",Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Cantonment,Escambia,32533,"550 West Roberts Rd, Cantonment, FL, 32533",,,,,,RF,Registered Plumbing Contractor,RF11067588,1,"PAYNE, DOUGLAS R",08/31/2027,,FL DBPR Construction License Extract (Current + Active)
SPIVEY & SON PLUMBING INC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Pensacola,Escambia,32506,"9820 Vonna Jo Dr, Pensacola, FL, 32506",,,,,,CFC,Certified Plumbing Contractor,CFC035765,1,"MARCANIO, DOMINIC",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
D G MILLER & SON PLUMBING,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Quincy,Gadsden,32352,"5641 Pt Milligan Rd, Quincy, FL, 32352",,,,,,CFC,Certified Plumbing Contractor,CFC1426065,1,"MILLER, DENNIS G",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
ECHANIQUE & SONS MECHANICAL CORP,Mechanical,Family-Owned,Pattern match,Name/marketing indicates family ownership,Spring Hill,Hernando,34609,"12316 Clarendon Court, Spring Hill, FL, 34609",,,,,,CMC,Certified Mechanical Contractor,CMC1249328,1,"ECHANIQUE, ROBERTO GASTON",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
ELIAS BROTHERS COOLING LLC,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Weeki Wachee,Hernando,33613,"6487  Schering St, Weeki Wachee, FL, 33613",,,,,,CAC,Certified Air Conditioning Contractor,CAC1820355,1,"ELIAS SANTOS, JAVIER LAZARO",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
ALEX & SON HEATING & COOLING LLC,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Lutz,Hillsborough,33549,"14822 N 20Th St, Lutz, FL, 33549",,,,,,CAC,Certified Air Conditioning Contractor,CAC1822572,1,"GONZALEZ, CHRISTOPHER",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
BOYER & SONS SERVICE CORPORATION,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Tampa,Hillsborough,33619,"716 Flame Tree Rd, Tampa, FL, 33619",,,,,,CAC,Certified Air Conditioning Contractor,CAC1817090,1,"BOYER, RICHARD LAWRENCE",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
"BRENNICK BROTHERS, INC",Plumbing + HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Riverview,Hillsborough,33568,"Po Box 279, Riverview, FL, 33568",,,,,,"CFC, CMC",Certified Mechanical Contractor; Certified Plumbing Contractor,CFC041732; CMC042541,2,"BRENNICK, MICHAEL JOSEPH",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
CICCARELLO & SON INC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Tampa,Hillsborough,33614,"4503 W. Jean Street, Tampa, FL, 33614",,,,,,CFC,Certified Plumbing Contractor,CFC056935,1,"CICCARELLO, LAURENT NICHOLAS",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
